title,id,language,ontologyId,resultType,address,position,access,distance,categories,references,foodTypes,contacts,openingHours
Sala Bai Restaurant School,here:pds:place:116aabd1-678f64778089018d26d3b1d42c457aca,en,here:cm:ontology:restaurant,place,"{'label': 'Sala Bai Restaurant School, ផ្លូវជាតិ 63, 171204 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'street': 'ផ្លូវជាតិ 63', 'postalCode': '171204'}","{'lat': 13.33992, 'lng': 103.85211}","[{'lat': 13.33995, 'lng': 103.85198}]",677,"[{'id': '100-1000-0000', 'name': 'Restaurant', 'primary': True}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '1507505'}]","[{'id': '200-000', 'name': 'Asian', 'primary': True}, {'id': '256-000', 'name': 'Cambodian'}, {'id': '300-000', 'name': 'European'}, {'id': '800-064', 'name': 'International'}]","[{'phone': [{'value': '+85589590864'}], 'www': [{'value': 'http://www.salabai.com/restaurant'}]}]","[{'text': ['Mon: 07:00 - 21:00', 'Tue-Fri: 07:00 - 09:00, 12:00 - 14:00', 'Sat, Sun: 07:30 - 09:30'], 'isOpen': False, 'structured': [{'start': 'T070000', 'duration': 'PT14H00M', 'recurrence': 'FREQ:DAILY;BYDAY:MO'}, {'start': 'T070000', 'duration': 'PT02H00M', 'recurrence': 'FREQ:DAILY;BYDAY:TU,WE,TH,FR'}, {'start': 'T120000', 'duration': 'PT02H00M', 'recurrence': 'FREQ:DAILY;BYDAY:TU,WE,TH,FR'}, {'start': 'T073000', 'duration': 'PT02H00M', 'recurrence': 'FREQ:DAILY;BYDAY:SA,SU'}]}]"
The Bamboo,here:pds:place:116w63gg-8d4b1faf064e41aa833f4f0af4747dcb,en,here:cm:ontology:restaurant,place,"{'label': 'The Bamboo, 171204 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'postalCode': '171204'}","{'lat': 13.34084, 'lng': 103.85332}","[{'lat': 13.34088, 'lng': 103.85333}]",728,"[{'id': '100-1000-0000', 'name': 'Restaurant', 'primary': True}, {'id': '700-7400-0141', 'name': 'Business Services'}]",,"[{'id': '200-000', 'name': 'Asian', 'primary': True}, {'id': '204-000', 'name': 'Southeast Asian'}]",[{'phone': [{'value': '+85510989832'}]}],
Yoshidaya(Siem Reap),here:pds:place:116w63gg-dc9c1336c6f4652202941da25b18228f,en,here:cm:ontology:restaurant,place,"{'label': 'Yoshidaya(Siem Reap), ផ្លូវជាតិ 63, 171204 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'street': 'ផ្លូវជាតិ 63', 'postalCode': '171204'}","{'lat': 13.34082, 'lng': 103.8521}","[{'lat': 13.34076, 'lng': 103.85222}]",768,"[{'id': '100-1000-0000', 'name': 'Restaurant', 'primary': True}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '27081788'}]","[{'id': '203-000', 'name': 'Japanese', 'primary': True}]",[{'phone': [{'value': '+85512585903'}]}],"[{'text': ['Mon-Sun: 08:00 - 22:00'], 'isOpen': True, 'structured': [{'start': 'T080000', 'duration': 'PT14H00M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR,SA,SU'}]}]"
Loun Suon,here:pds:place:116w63gg-27ddf9e41b5748cf91c87cb8048fdd51,en,here:cm:ontology:restaurant,place,"{'label': 'Loun Suon, ផ្លូវជាតិ 63, 171204 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'street': 'ផ្លូវជាតិ 63', 'postalCode': '171204'}","{'lat': 13.34226, 'lng': 103.85281}","[{'lat': 13.34229, 'lng': 103.85267}]",895,"[{'id': '100-1000-0000', 'name': 'Restaurant', 'primary': True}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '8822304'}]","[{'id': '200-000', 'name': 'Asian', 'primary': True}, {'id': '256-000', 'name': 'Cambodian'}]",[{'phone': [{'value': '+85517550225'}]}],
JD's,here:pds:place:116w63gg-d2534a924850d78e267703889952b279,en,here:cm:ontology:restaurant,place,"{'label': ""JD's, ផ្លូវជាតិ 63, 171204 សៀមរាប, កម្ពុជា"", 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'street': 'ផ្លូវជាតិ 63', 'postalCode': '171204'}","{'lat': 13.34388, 'lng': 103.85344}","[{'lat': 13.34391, 'lng': 103.85331}]",1057,"[{'id': '100-1000-0000', 'name': 'Restaurant', 'primary': True}, {'id': '200-2000-0011', 'name': 'Bar or Pub'}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '21226762'}]","[{'id': '308-000', 'name': 'British Isles', 'primary': True}]","[{'phone': [{'value': '+855969078108'}], 'www': [{'value': 'www.facebook.com/jdssiemreap'}]}]","[{'text': ['Tue-Fri, Sun: 18:00 - 24:00', 'Sat: 16:00 - 24:00'], 'isOpen': False, 'structured': [{'start': 'T180000', 'duration': 'PT06H00M', 'recurrence': 'FREQ:DAILY;BYDAY:TU,WE,TH,FR,SU'}, {'start': 'T160000', 'duration': 'PT08H00M', 'recurrence': 'FREQ:DAILY;BYDAY:SA'}]}]"
Villa Nissa Hotel & Resort,here:pds:place:116aabd1-2f58204e6ab402c21078e756de4cd8f9,en,here:cm:ontology:hotel,place,"{'label': 'Villa Nissa Hotel & Resort, 171204 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'postalCode': '171204'}","{'lat': 13.33852, 'lng': 103.85177}","[{'lat': 13.3385, 'lng': 103.85163}]",564,"[{'id': '500-5000-0053', 'name': 'Hotel', 'primary': True}, {'id': '500-5100-0000', 'name': 'Lodging'}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '8871131'}]",,[{'phone': [{'value': '+85512309659'}]}],
Bunwin Residence,here:pds:place:116w63gg-d19e525c7d03417d95faef669cb79c10,en,here:cm:ontology:hotel,place,"{'label': 'Bunwin Residence, 171209 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សៀមរាប', 'postalCode': '171209'}","{'lat': 13.32977, 'lng': 103.85297}","[{'lat': 13.32976, 'lng': 103.85311}]",565,"[{'id': '500-5000-0053', 'name': 'Hotel', 'primary': True}, {'id': '100-1000-0000', 'name': 'Restaurant'}, {'id': '500-5100-0000', 'name': 'Lodging'}, {'id': '700-7200-0253', 'name': 'Catering & Other Food Services'}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '5494765'}]",,"[{'phone': [{'value': '+85512346644'}], 'www': [{'value': 'https://www.facebook.com/bunwinresidencekh', 'categories': [{'id': '500-5000-0053'}]}]}]",
Sala Bai Hotel School,here:pds:place:116aabd1-f1c89770a0e2086b14ea388dae8852bc,en,here:cm:ontology:hotel,place,"{'label': 'Sala Bai Hotel School, 171204 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'postalCode': '171204'}","{'lat': 13.33955, 'lng': 103.85243}","[{'lat': 13.33961, 'lng': 103.85231}]",625,"[{'id': '500-5000-0053', 'name': 'Hotel', 'primary': True}, {'id': '100-1000-0000', 'name': 'Restaurant'}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '671778'}]",,"[{'phone': [{'value': '+85589590864'}, {'value': '+855962852014'}], 'www': [{'value': 'http://www.salabai.com'}, {'value': 'http://www.salabai.com/en/hotel', 'categories': [{'id': '500-5000-0053'}]}]}]",
Koki Tree,here:pds:place:116w63gg-7ec90ce250944c20bed36a6d79566424,en,here:cm:ontology:hotel,place,"{'label': 'Koki Tree, ផ្លូវជាតិ 63, 171204 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'street': 'ផ្លូវជាតិ 63', 'postalCode': '171204'}","{'lat': 13.33949, 'lng': 103.85147}","[{'lat': 13.33939, 'lng': 103.85157}]",671,"[{'id': '500-5000-0053', 'name': 'Hotel', 'primary': True}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '17551062'}]",,"[{'phone': [{'value': '+855977561000'}], 'www': [{'value': 'https://koki-tree.business.site/?utm_source=gmb&utm_medium=referral'}]}]",
Reflection Villa,here:pds:place:116w63gg-f8e32dbead004304be109937bc5d5964,en,here:cm:ontology:hotel,place,"{'label': 'Reflection Villa, 171209 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សៀមរាប', 'postalCode': '171209'}","{'lat': 13.32928, 'lng': 103.85005}","[{'lat': 13.32928, 'lng': 103.85019}]",782,"[{'id': '500-5000-0053', 'name': 'Hotel', 'primary': True}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '12638695'}]",,,
